Model,Search Method,CV Folds,Iterations,Best CV RMSE,Best Parameters
Gradient Boosting Tuned,RandomizedSearchCV,3,4,1.4225,"{""model__learning_rate"": 0.08, ""model__max_depth"": 4, ""model__n_estimators"": 120, ""model__subsample"": 0.8}"
Random Forest Tuned,RandomizedSearchCV,3,4,1.4889,"{""model__max_depth"": 12, ""model__max_features"": null, ""model__min_samples_leaf"": 4, ""model__n_estimators"": 220}"
